ENSEMBL_ID	SYMBOL	ENTREZID	GENENAME
ENSG00000000003	TSPAN6	7105	tetraspanin 6
ENSG00000000419	DPM1	8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
ENSG00000000457	SCYL3	57147	SCY1 like pseudokinase 3
ENSG00000000460	FIRRM	55732	FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000971	CFH	3075	complement factor H
ENSG00000001036	FUCA2	2519	alpha-L-fucosidase 2
ENSG00000001084	GCLC	2729	glutamate-cysteine ligase catalytic subunit
ENSG00000001167	NFYA	4800	nuclear transcription factor Y subunit alpha
ENSG00000001460	STPG1	90529	sperm tail PG-rich repeat containing 1
ENSG00000001461	NIPAL3	57185	NIPA like domain containing 3
ENSG00000001497	LAS1L	81887	LAS1 like ribosome biogenesis factor
ENSG00000001617	SEMA3F	6405	semaphorin 3F
ENSG00000001629	ANKIB1	54467	ankyrin repeat and IBR domain containing 1
ENSG00000001630	CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1
ENSG00000001631	KRIT1	889	KRIT1 ankyrin repeat containing
ENSG00000002016	RAD52	5893	RAD52 homolog, DNA repair protein
ENSG00000002330	BAD	572	BCL2 associated agonist of cell death
ENSG00000002549	LAP3	51056	leucine aminopeptidase 3
ENSG00000002586	CD99	4267	CD99 molecule (Xg blood group)
ENSG00000002746	HECW1	23072	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000002822	MAD1L1	8379	mitotic arrest deficient 1 like 1
ENSG00000002834	LASP1	3927	LIM and SH3 protein 1
ENSG00000002919	SNX11	29916	sorting nexin 11
ENSG00000003056	M6PR	4074	mannose-6-phosphate receptor, cation dependent
ENSG00000003137	CYP26B1	56603	cytochrome P450 family 26 subfamily B member 1
ENSG00000003147	ICA1	3382	islet cell autoantigen 1
ENSG00000003249	DBNDD1	79007	dysbindin domain containing 1
ENSG00000003393	ALS2	57679	alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400	CASP10	843	caspase 10
ENSG00000003402	CFLAR	8837	CASP8 and FADD like apoptosis regulator
ENSG00000003436	TFPI	7035	tissue factor pathway inhibitor
ENSG00000003509	NDUFAF7	55471	NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756	RBM5	10181	RNA binding motif protein 5
ENSG00000003987	MTMR7	9108	myotubularin related protein 7
ENSG00000003989	SLC7A2	6542	solute carrier family 7 member 2
ENSG00000004059	ARF5	381	ADP ribosylation factor 5
ENSG00000004139	SARM1	23098	sterile alpha and TIR motif containing 1
ENSG00000004142	POLDIP2	26073	DNA polymerase delta interacting protein 2
ENSG00000004399	PLXND1	23129	plexin D1
ENSG00000004455	AK2	204	adenylate kinase 2
ENSG00000004468	CD38	952	CD38 molecule
ENSG00000004478	FKBP4	2288	FKBP prolyl isomerase 4
ENSG00000004487	KDM1A	23028	lysine demethylase 1A
ENSG00000004534	RBM6	10180	RNA binding motif protein 6
ENSG00000004660	CAMKK1	84254	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700	RECQL	5965	RecQ like helicase
ENSG00000004766	VPS50	55610	VPS50 subunit of EARP/GARPII complex
ENSG00000004777	ARHGAP33	115703	Rho GTPase activating protein 33
ENSG00000004779	NDUFAB1	4706	NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799	PDK4	5166	pyruvate dehydrogenase kinase 4
ENSG00000004864	SLC25A13	10165	solute carrier family 25 member 13
ENSG00000004866	ST7	7982	suppression of tumorigenicity 7
ENSG00000004897	CDC27	996	cell division cycle 27
ENSG00000004961	HCCS	3052	holocytochrome c synthase
ENSG00000004975	DVL2	1856	dishevelled segment polarity protein 2
ENSG00000005007	UPF1	5976	UPF1 RNA helicase and ATPase
ENSG00000005020	SKAP2	8935	src kinase associated phosphoprotein 2
ENSG00000005022	SLC25A5	292	solute carrier family 25 member 5
ENSG00000005059	MCUB	55013	mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005075	POLR2J	5439	RNA polymerase II subunit J
ENSG00000005100	DHX33	56919	DEAH-box helicase 33
ENSG00000005108	THSD7A	221981	thrombospondin type 1 domain containing 7A
ENSG00000005156	LIG3	3980	DNA ligase 3
ENSG00000005175	RPAP3	79657	RNA polymerase II associated protein 3
ENSG00000005187	ACSM3	6296	acyl-CoA synthetase medium chain family member 3
ENSG00000005189	REXO5	81691	RNA exonuclease 5
ENSG00000005194	CIAPIN1	57019	cytokine induced apoptosis inhibitor 1
ENSG00000005206	SPPL2B	56928	signal peptide peptidase like 2B
ENSG00000005238	ATOSB	80256	atos homolog B
ENSG00000005243	COPZ2	51226	COPI coat complex subunit zeta 2
ENSG00000005249	PRKAR2B	5577	protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302	MSL3	10943	MSL complex subunit 3
ENSG00000005339	CREBBP	1387	CREB binding protein
ENSG00000005436	GCFC2	6936	GC-rich sequence DNA-binding factor 2
ENSG00000005448	WDR54	84058	WD repeat domain 54
ENSG00000005469	CROT	54677	carnitine O-octanoyltransferase
ENSG00000005483	KMT2E	55904	lysine methyltransferase 2E (inactive)
ENSG00000005486	RHBDD2	57414	rhomboid domain containing 2
ENSG00000005700	IBTK	25998	inhibitor of Bruton tyrosine kinase
ENSG00000005801	ZNF195	7748	zinc finger protein 195
ENSG00000005810	MYCBP2	23077	MYC binding protein 2
ENSG00000005812	FBXL3	26224	F-box and leucine rich repeat protein 3
ENSG00000005882	PDK2	5164	pyruvate dehydrogenase kinase 2
ENSG00000005884	ITGA3	3675	integrin subunit alpha 3
ENSG00000005889	ZFX	7543	zinc finger protein X-linked
ENSG00000005893	LAMP2	3920	lysosomal associated membrane protein 2
ENSG00000005961	ITGA2B	3674	integrin subunit alpha 2b
ENSG00000005981	ASB4	51666	ankyrin repeat and SOCS box containing 4
ENSG00000006007	GDE1	51573	glycerophosphodiester phosphodiesterase 1
ENSG00000006015	REX1BD	55049	required for excision 1-B domain containing
ENSG00000006016	CRLF1	9244	cytokine receptor like factor 1
ENSG00000006025	OSBPL7	114881	oxysterol binding protein like 7
ENSG00000006042	TMEM98	26022	transmembrane protein 98
ENSG00000006062	MAP3K14	9020	mitogen-activated protein kinase kinase kinase 14
ENSG00000006071	ABCC8	6833	ATP binding cassette subfamily C member 8
ENSG00000006118	TMEM132A	54972	transmembrane protein 132A
ENSG00000006125	AP2B1	163	adaptor related protein complex 2 subunit beta 1
ENSG00000006194	ZNF263	10127	zinc finger protein 263
ENSG00000006282	SPATA20	64847	spermatogenesis associated 20
ENSG00000006283	CACNA1G	8913	calcium voltage-gated channel subunit alpha1 G
ENSG00000006327	TNFRSF12A	51330	TNF receptor superfamily member 12A
ENSG00000006432	MAP3K9	4293	mitogen-activated protein kinase kinase kinase 9
ENSG00000006451	RALA	5898	RAS like proto-oncogene A
ENSG00000006453	BAIAP2L1	55971	BAR/IMD domain containing adaptor protein 2 like 1
ENSG00000006459	KDM7A	80853	lysine demethylase 7A
ENSG00000006468	ETV1	2115	ETS variant transcription factor 1
ENSG00000006530	AGK	55750	acylglycerol kinase
ENSG00000006534	ALDH3B1	221	aldehyde dehydrogenase 3 family member B1
ENSG00000006576	PHTF2	57157	putative homeodomain transcription factor 2
ENSG00000006606	CCL26	10344	C-C motif chemokine ligand 26
ENSG00000006607	FARP2	9855	FERM, ARH/RhoGEF and pleckstrin domain protein 2
ENSG00000006611	USH1C	10083	USH1 protein network component harmonin
ENSG00000006625	GGCT	79017	gamma-glutamylcyclotransferase
ENSG00000006634	DBF4	10926	DBF4 zinc finger
ENSG00000006652	IFRD1	3475	interferon related developmental regulator 1
ENSG00000006695	COX10	1352	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704	GTF2IRD1	9569	GTF2I repeat domain containing 1
ENSG00000006712	PAF1	54623	PAF1 homolog, Paf1/RNA polymerase II complex component
ENSG00000006715	VPS41	27072	VPS41 subunit of HOPS complex
ENSG00000006740	ARHGAP44	9912	Rho GTPase activating protein 44
ENSG00000006744	ELAC2	60528	elaC ribonuclease Z 2
ENSG00000006756	ARSD	414	arylsulfatase D
ENSG00000006757	PNPLA4	8228	patatin like phospholipase domain containing 4
ENSG00000006831	ADIPOR2	79602	adiponectin receptor 2
ENSG00000006837	CDKL3	51265	cyclin dependent kinase like 3
ENSG00000007047	MARK4	57787	microtubule affinity regulating kinase 4
ENSG00000007080	CCDC124	115098	coiled-coil domain containing 124
ENSG00000007168	PAFAH1B1	5048	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007202	BLTP2	9703	bridge-like lipid transfer protein family member 2
ENSG00000007255	TRAPPC6A	79090	trafficking protein particle complex subunit 6A
ENSG00000007312	CD79B	974	CD79b molecule
ENSG00000007341	ST7L	54879	suppression of tumorigenicity 7 like
ENSG00000007376	RPUSD1	113000	RNA pseudouridine synthase domain containing 1
ENSG00000007384	RHBDF1	64285	rhomboid 5 homolog 1
ENSG00000007392	LUC7L	55692	LUC7 like
ENSG00000007516	BAIAP3	8938	BAI1 associated protein 3
ENSG00000007520	TSR3	115939	TSR3 ribosome maturation factor
ENSG00000007541	PIGQ	9091	phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545	CRAMP1	57585	cramped chromatin regulator homolog 1
ENSG00000007866	TEAD3	7005	TEA domain transcription factor 3
ENSG00000007923	DNAJC11	55735	DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007944	MYLIP	29116	myosin regulatory light chain interacting protein
ENSG00000007968	E2F2	1870	E2F transcription factor 2
ENSG00000008018	PSMB1	5689	proteasome 20S subunit beta 1
ENSG00000008083	JARID2	3720	jumonji and AT-rich interaction domain containing 2
ENSG00000008086	CDKL5	6792	cyclin dependent kinase like 5
ENSG00000008128	CDK11A	728642	cyclin dependent kinase 11A
ENSG00000008130	NADK	65220	NAD kinase
ENSG00000008256	CYTH3	9265	cytohesin 3
ENSG00000008282	SYPL1	6856	synaptophysin like 1
ENSG00000008283	CYB561	1534	cytochrome b561
ENSG00000008294	SPAG9	9043	sperm associated antigen 9
ENSG00000008300	CELSR3	1951	cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008323	PLEKHG6	55200	pleckstrin homology and RhoGEF domain containing G6
ENSG00000008324	SS18L2	51188	SS18 like 2
ENSG00000008382	MPND	84954	MPN domain containing
ENSG00000008394	MGST1	4257	microsomal glutathione S-transferase 1
ENSG00000008405	CRY1	1407	cryptochrome circadian regulator 1
ENSG00000008441	NFIX	4784	nuclear factor I X
ENSG00000008513	ST3GAL1	6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ENSG00000008517	IL32	9235	interleukin 32
ENSG00000008710	PKD1	5310	polycystin 1, transient receptor potential channel interacting
ENSG00000008735	MAPK8IP2	23542	mitogen-activated protein kinase 8 interacting protein 2
ENSG00000008838	MED24	9862	mediator complex subunit 24
ENSG00000008853	RHOBTB2	23221	Rho related BTB domain containing 2
ENSG00000008869	HEATR5B	54497	HEAT repeat containing 5B
ENSG00000008952	SEC62	7095	SEC62 homolog, preprotein translocation factor
ENSG00000008988	RPS20	6224	ribosomal protein S20
ENSG00000009307	CSDE1	7812	cold shock domain containing E1
ENSG00000009335	UBE3C	9690	ubiquitin protein ligase E3C
ENSG00000009413	REV3L	5980	REV3 like, DNA directed polymerase zeta catalytic subunit
ENSG00000009780	FAM76A	199870	family with sequence similarity 76 member A
ENSG00000009830	POMT2	29954	protein O-mannosyltransferase 2
ENSG00000009844	VTA1	51534	vesicle trafficking 1
ENSG00000009950	MLXIPL	51085	MLX interacting protein like
ENSG00000009954	BAZ1B	9031	bromodomain adjacent to zinc finger domain 1B
ENSG00000010017	RANBP9	10048	RAN binding protein 9
ENSG00000010072	SPRTN	83932	SprT-like N-terminal domain
ENSG00000010165	METTL13	51603	methyltransferase 13, eEF1A N-terminus and K55
ENSG00000010219	DYRK4	8798	dual specificity tyrosine phosphorylation regulated kinase 4
ENSG00000010244	ZNF207	7756	zinc finger protein 207
ENSG00000010256	UQCRC1	7384	ubiquinol-cytochrome c reductase core protein 1
ENSG00000010270	STARD3NL	83930	STARD3 N-terminal like
ENSG00000010278	CD9	928	CD9 molecule
ENSG00000010292	NCAPD2	9918	non-SMC condensin I complex subunit D2
ENSG00000010295	IFFO1	25900	intermediate filament family orphan 1
ENSG00000010310	GIPR	2696	gastric inhibitory polypeptide receptor
ENSG00000010318	PHF7	51533	PHD finger protein 7
ENSG00000010322	NISCH	11188	nischarin
ENSG00000010361	FUZ	80199	fuzzy planar cell polarity protein
ENSG00000010404	IDS	3423	iduronate 2-sulfatase
ENSG00000010438	PRSS3	5646	serine protease 3
ENSG00000010539	ZNF200	7752	zinc finger protein 200
ENSG00000010626	LRRC23	10233	leucine rich repeat containing 23
ENSG00000010704	HFE	3077	homeostatic iron regulator
ENSG00000010803	SCMH1	22955	Scm polycomb group protein homolog 1
ENSG00000010810	FYN	2534	FYN proto-oncogene, Src family tyrosine kinase
ENSG00000010818	HIVEP2	3097	HIVEP zinc finger 2
ENSG00000011007	ELOA	6924	elongin A
ENSG00000011009	LYPLA2	11313	lysophospholipase 2
ENSG00000011021	CLCN6	1185	chloride voltage-gated channel 6
ENSG00000011028	MRC2	9902	mannose receptor C type 2
ENSG00000011052	NME1-NME2	654364	NME1-NME2 readthrough
ENSG00000011105	TSPAN9	10867	tetraspanin 9
ENSG00000011114	BTBD7	55727	BTB domain containing 7
ENSG00000011132	APBA3	9546	amyloid beta precursor protein binding family A member 3
ENSG00000011143	MKS1	54903	MKS transition zone complex subunit 1
ENSG00000011198	ABHD5	51099	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ENSG00000011243	AKAP8L	26993	A-kinase anchoring protein 8 like
ENSG00000011258	MBTD1	54799	mbt domain containing 1
ENSG00000011260	UTP18	51096	UTP18 small subunit processome component
ENSG00000011275	RNF216	54476	ring finger protein 216
ENSG00000011295	TTC19	54902	tetratricopeptide repeat domain 19
ENSG00000011304	PTBP1	5725	polypyrimidine tract binding protein 1
ENSG00000011332	DPF1	8193	double PHD fingers 1
ENSG00000011376	LARS2	23395	leucyl-tRNA synthetase 2, mitochondrial
ENSG00000011405	PIK3C2A	5286	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ENSG00000011422	PLAUR	5329	plasminogen activator, urokinase receptor
ENSG00000011426	ANLN	54443	anillin, actin binding protein
ENSG00000011451	WIZ	58525	WIZ zinc finger
ENSG00000011454	RABGAP1	23637	RAB GTPase activating protein 1
ENSG00000011478	QPCTL	54814	glutaminyl-peptide cyclotransferase like
ENSG00000011485	PPP5C	5536	protein phosphatase 5 catalytic subunit
ENSG00000011523	CEP68	23177	centrosomal protein 68
ENSG00000011566	MAP4K3	8491	mitogen-activated protein kinase kinase kinase kinase 3
ENSG00000011638	LDAF1	57146	lipid droplet assembly factor 1
ENSG00000012048	BRCA1	672	BRCA1 DNA repair associated
ENSG00000012061	ERCC1	2067	ERCC excision repair 1, endonuclease non-catalytic subunit
ENSG00000012124	CD22	933	CD22 molecule
ENSG00000012171	SEMA3B	7869	semaphorin 3B
ENSG00000012174	MBTPS2	51360	membrane bound transcription factor peptidase, site 2
ENSG00000012211	PRICKLE3	4007	prickle planar cell polarity protein 3
ENSG00000012232	EXTL3	2137	exostosin like glycosyltransferase 3
ENSG00000012660	ELOVL5	60481	ELOVL fatty acid elongase 5
ENSG00000012779	ALOX5	240	arachidonate 5-lipoxygenase
ENSG00000012817	KDM5D	8284	lysine demethylase 5D
ENSG00000012822	CALCOCO1	57658	calcium binding and coiled-coil domain 1
ENSG00000012963	UBR7	55148	ubiquitin protein ligase E3 component n-recognin 7
ENSG00000012983	MAP4K5	11183	mitogen-activated protein kinase kinase kinase kinase 5
ENSG00000013016	EHD3	30845	EH domain containing 3
ENSG00000013275	PSMC4	5704	proteasome 26S subunit, ATPase 4
ENSG00000013288	MAN2B2	23324	mannosidase alpha class 2B member 2
ENSG00000013306	SLC25A39	51629	solute carrier family 25 member 39
ENSG00000013364	MVP	9961	major vault protein
ENSG00000013374	NUB1	51667	negative regulator of ubiquitin like proteins 1
ENSG00000013375	PGM3	5238	phosphoglucomutase 3
ENSG00000013392	RWDD2A	112611	RWD domain containing 2A
ENSG00000013441	CLK1	1195	CDC like kinase 1
ENSG00000013503	POLR3B	55703	RNA polymerase III subunit B
ENSG00000013523	ANGEL1	23357	angel homolog 1
ENSG00000013561	RNF14	9604	ring finger protein 14
ENSG00000013563	DNASE1L1	1774	deoxyribonuclease 1 like 1
ENSG00000013573	DDX11	1663	DEAD/H-box helicase 11
ENSG00000013583	HEBP1	50865	heme binding protein 1
ENSG00000013588	GPRC5A	9052	G protein-coupled receptor class C group 5 member A
ENSG00000013619	MAMLD1	10046	mastermind like domain containing 1
ENSG00000013810	TACC3	10460	transforming acidic coiled-coil containing protein 3
ENSG00000014123	UFL1	23376	UFM1 specific ligase 1
ENSG00000014138	POLA2	23649	DNA polymerase alpha 2, accessory subunit
ENSG00000014164	ZC3H3	23144	zinc finger CCCH-type containing 3
ENSG00000014216	CAPN1	823	calpain 1
ENSG00000014641	MDH1	4190	malate dehydrogenase 1
ENSG00000014824	SLC30A9	10463	solute carrier family 30 member 9
ENSG00000014914	MTMR11	10903	myotubularin related protein 11
ENSG00000014919	COX15	1355	cytochrome c oxidase assembly homolog COX15
ENSG00000015133	CCDC88C	440193	coiled-coil domain containing 88C
ENSG00000015153	YAF2	10138	YY1 associated factor 2
ENSG00000015171	ZMYND11	10771	zinc finger MYND-type containing 11
ENSG00000015413	DPEP1	1800	dipeptidase 1
ENSG00000015475	BID	637	BH3 interacting domain death agonist
ENSG00000015479	MATR3	9782	matrin 3
ENSG00000015532	XYLT2	64132	xylosyltransferase 2
ENSG00000015568	RGPD5	84220	RANBP2 like and GRIP domain containing 5
ENSG00000015676	NUDCD3	23386	NudC domain containing 3
ENSG00000016391	CHDH	55349	choline dehydrogenase
ENSG00000016864	GLT8D1	55830	glycosyltransferase 8 domain containing 1
ENSG00000017260	ATP2C1	27032	ATPase secretory pathway Ca2+ transporting 1
ENSG00000017797	RALBP1	10928	ralA binding protein 1
ENSG00000018189	RUFY3	22902	RUN and FYVE domain containing 3
ENSG00000018236	CNTN1	1272	contactin 1
ENSG00000018408	WWTR1	25937	WW domain containing transcription regulator 1
ENSG00000018510	AGPS	8540	alkylglycerone phosphate synthase
ENSG00000018610	STEEP1	63932	STING1 ER exit protein 1
ENSG00000018699	TTC27	55622	tetratricopeptide repeat domain 27
ENSG00000019144	PHLDB1	23187	pleckstrin homology like domain family B member 1
ENSG00000019186	CYP24A1	1591	cytochrome P450 family 24 subfamily A member 1
ENSG00000019485	PRDM11	56981	PR/SET domain 11
ENSG00000019505	SYT13	57586	synaptotagmin 13
ENSG00000019995	ZRANB1	54764	zinc finger RANBP2-type containing 1
ENSG00000020129	NCDN	23154	neurochondrin
ENSG00000020181	ADGRA2	25960	adhesion G protein-coupled receptor A2
ENSG00000020256	ZFP64	55734	ZFP64 zinc finger protein
ENSG00000020426	MNAT1	4331	MNAT1 component of CDK activating kinase
ENSG00000020577	SAMD4A	23034	sterile alpha motif domain containing 4A
ENSG00000020633	RUNX3	864	RUNX family transcription factor 3
ENSG00000020922	MRE11	4361	MRE11 homolog, double strand break repair nuclease
ENSG00000021300	PLEKHB1	58473	pleckstrin homology domain containing B1
ENSG00000021355	SERPINB1	1992	serpin family B member 1
ENSG00000021574	SPAST	6683	spastin
ENSG00000021645	NRXN3	9369	neurexin 3
ENSG00000021762	OSBPL5	114879	oxysterol binding protein like 5
ENSG00000021776	AQR	9716	aquarius intron-binding spliceosomal factor
ENSG00000021826	CPS1	1373	carbamoyl-phosphate synthase 1
ENSG00000022267	FHL1	2273	four and a half LIM domains 1
ENSG00000022277	RTF2	51507	replication termination factor 2
ENSG00000022556	NLRP2	55655	NLR family pyrin domain containing 2
ENSG00000022567	SLC45A4	57210	solute carrier family 45 member 4
ENSG00000022840	RNF10	9921	ring finger protein 10
ENSG00000022976	ZNF839	55778	zinc finger protein 839
ENSG00000023041	ZDHHC6	64429	zinc finger DHHC-type palmitoyltransferase 6
ENSG00000023171	GRAMD1B	57476	GRAM domain containing 1B
ENSG00000023191	RNH1	6050	ribonuclease/angiogenin inhibitor 1
ENSG00000023228	NDUFS1	4719	NADH:ubiquinone oxidoreductase core subunit S1
ENSG00000023287	RB1CC1	9821	RB1 inducible coiled-coil 1
ENSG00000023318	ERP44	23071	endoplasmic reticulum protein 44
ENSG00000023330	ALAS1	211	5'-aminolevulinate synthase 1
ENSG00000023445	BIRC3	330	baculoviral IAP repeat containing 3
ENSG00000023516	AKAP11	11215	A-kinase anchoring protein 11
ENSG00000023572	GLRX2	51022	glutaredoxin 2
ENSG00000023608	SNAPC1	6617	small nuclear RNA activating complex polypeptide 1
ENSG00000023697	DERA	51071	deoxyribose-phosphate aldolase
ENSG00000023734	STRAP	11171	serine/threonine kinase receptor associated protein
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2
ENSG00000023902	PLEKHO1	51177	pleckstrin homology domain containing O1
ENSG00000023909	GCLM	2730	glutamate-cysteine ligase modifier subunit
ENSG00000024048	UBR2	23304	ubiquitin protein ligase E3 component n-recognin 2
ENSG00000024422	EHD2	30846	EH domain containing 2
ENSG00000024526	DEPDC1	55635	DEP domain containing 1
ENSG00000024862	CCDC28A	25901	coiled-coil domain containing 28A
ENSG00000025039	RRAGD	58528	Ras related GTP binding D
ENSG00000025156	HSF2	3298	heat shock transcription factor 2
ENSG00000025293	PHF20	51230	PHD finger protein 20
ENSG00000025423	HSD17B6	8630	hydroxysteroid 17-beta dehydrogenase 6
ENSG00000025434	NR1H3	10062	nuclear receptor subfamily 1 group H member 3
ENSG00000025708	TYMP	1890	thymidine phosphorylase
ENSG00000025770	NCAPH2	29781	non-SMC condensin II complex subunit H2
ENSG00000025772	TOMM34	10953	translocase of outer mitochondrial membrane 34
ENSG00000025796	SEC63	11231	SEC63 homolog, protein translocation regulator
ENSG00000025800	KPNA6	23633	karyopherin subunit alpha 6
ENSG00000026025	VIM	7431	vimentin
ENSG00000026103	FAS	355	Fas cell surface death receptor
ENSG00000026297	RNASET2	8635	ribonuclease T2
ENSG00000026508	CD44	960	CD44 molecule (Indian blood group)
ENSG00000026559	KCNG1	3755	potassium voltage-gated channel modifier subfamily G member 1
ENSG00000026652	AGPAT4	56895	1-acylglycerol-3-phosphate O-acyltransferase 4
ENSG00000026751	SLAMF7	57823	SLAM family member 7
ENSG00000026950	BTN3A1	11119	butyrophilin subfamily 3 member A1
ENSG00000027001	MIPEP	4285	mitochondrial intermediate peptidase
ENSG00000027075	PRKCH	5583	protein kinase C eta
ENSG00000027697	IFNGR1	3459	interferon gamma receptor 1
ENSG00000027847	B4GALT7	11285	beta-1,4-galactosyltransferase 7
ENSG00000027869	SH2D2A	9047	SH2 domain containing 2A
ENSG00000028116	VRK2	7444	VRK serine/threonine kinase 2
ENSG00000028203	VEZT	55591	vezatin, adherens junctions transmembrane protein
ENSG00000028310	BRD9	65980	bromodomain containing 9
ENSG00000028528	SNX1	6642	sorting nexin 1
ENSG00000028839	TBPL1	9519	TATA-box binding protein like 1
ENSG00000029153	BMAL2	56938	basic helix-loop-helix ARNT like 2
ENSG00000029363	BCLAF1	9774	BCL2 associated transcription factor 1
ENSG00000029364	SLC39A9	55334	solute carrier family 39 member 9
ENSG00000029534	ANK1	286	ankyrin 1
ENSG00000029639	TFB1M	51106	transcription factor B1, mitochondrial
ENSG00000029725	RABEP1	9135	rabaptin, RAB GTPase binding effector protein 1
ENSG00000029993	HMGB3	3149	high mobility group box 3
ENSG00000030066	NUP160	23279	nucleoporin 160
ENSG00000030110	BAK1	578	BCL2 antagonist/killer 1
ENSG00000030582	GRN	2896	granulin precursor
ENSG00000031003	FAM13B	51306	family with sequence similarity 13 member B
ENSG00000031081	ARHGAP31	57514	Rho GTPase activating protein 31
ENSG00000031691	CENPQ	55166	centromere protein Q
ENSG00000031698	SARS1	6301	seryl-tRNA synthetase 1
ENSG00000031823	RANBP3	8498	RAN binding protein 3
ENSG00000032219	ARID4A	5926	AT-rich interaction domain 4A
ENSG00000032389	EIPR1	7260	EARP complex and GARP complex interacting protein 1
ENSG00000032444	PNPLA6	10908	patatin like phospholipase domain containing 6
ENSG00000032742	IFT88	8100	intraflagellar transport 88
ENSG00000033011	ALG1	56052	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ENSG00000033030	ZCCHC8	55596	zinc finger CCHC-type containing 8
ENSG00000033050	ABCF2	10061	ATP binding cassette subfamily F member 2
ENSG00000033100	CHPF2	54480	chondroitin polymerizing factor 2
ENSG00000033170	FUT8	2530	fucosyltransferase 8
ENSG00000033178	UBA6	55236	ubiquitin like modifier activating enzyme 6
ENSG00000033327	GAB2	9846	GRB2 associated binding protein 2
ENSG00000033627	ATP6V0A1	535	ATPase H+ transporting V0 subunit a1
ENSG00000033800	PIAS1	8554	protein inhibitor of activated STAT 1
ENSG00000033867	SLC4A7	9497	solute carrier family 4 member 7
ENSG00000034053	APBA2	321	amyloid beta precursor protein binding family A member 2
ENSG00000034152	MAP2K3	5606	mitogen-activated protein kinase kinase 3
ENSG00000034510	TMSB10	9168	thymosin beta 10
ENSG00000034533	ASTE1	28990	asteroid homolog 1
ENSG00000034677	RNF19A	25897	ring finger protein 19A, RBR E3 ubiquitin protein ligase
ENSG00000034693	PEX3	8504	peroxisomal biogenesis factor 3
ENSG00000034713	GABARAPL2	11345	GABA type A receptor associated protein like 2
ENSG00000035115	SH3YL1	26751	SH3 and SYLF domain containing 1
ENSG00000035141	FAM136A	84908	family with sequence similarity 136 member A
ENSG00000035403	VCL	7414	vinculin
ENSG00000035499	DEPDC1B	55789	DEP domain containing 1B
ENSG00000035664	DAPK2	23604	death associated protein kinase 2
ENSG00000035681	NSMAF	8439	neutral sphingomyelinase activation associated factor
ENSG00000035687	ADSS2	159	adenylosuccinate synthase 2
ENSG00000035862	TIMP2	7077	TIMP metallopeptidase inhibitor 2
ENSG00000035928	RFC1	5981	replication factor C subunit 1
ENSG00000036054	TBC1D23	55773	TBC1 domain family member 23
ENSG00000036257	CUL3	8452	cullin 3
ENSG00000036549	ZZZ3	26009	zinc finger ZZ-type containing 3
ENSG00000037042	TUBG2	27175	tubulin gamma 2
ENSG00000037241	RPL26L1	51121	ribosomal protein L26 like 1
ENSG00000037280	FLT4	2324	fms related receptor tyrosine kinase 4
ENSG00000037474	NSUN2	54888	NOP2/Sun RNA methyltransferase 2
ENSG00000037637	FBXO42	54455	F-box protein 42
ENSG00000037749	MFAP3	4238	microfibril associated protein 3
ENSG00000037757	MRI1	84245	methylthioribose-1-phosphate isomerase 1
ENSG00000037897	METTL1	4234	methyltransferase 1, tRNA methylguanosine
ENSG00000037965	HOXC8	3224	homeobox C8
ENSG00000038002	AGA	175	aspartylglucosaminidase
ENSG00000038210	PI4K2B	55300	phosphatidylinositol 4-kinase type 2 beta
ENSG00000038219	BOD1L1	259282	biorientation of chromosomes in cell division 1 like 1
ENSG00000038274	MAT2B	27430	methionine adenosyltransferase 2 non-catalytic beta subunit
ENSG00000038358	EDC4	23644	enhancer of mRNA decapping 4
ENSG00000038382	TRIO	7204	trio Rho guanine nucleotide exchange factor
ENSG00000038427	VCAN	1462	versican
ENSG00000038532	CLEC16A	23274	C-type lectin domain containing 16A
ENSG00000039068	CDH1	999	cadherin 1
ENSG00000039123	MTREX	23517	Mtr4 exosome RNA helicase
ENSG00000039319	ZFYVE16	9765	zinc finger FYVE-type containing 16
ENSG00000039523	RIPOR1	79567	RHO family interacting cell polarization regulator 1
ENSG00000039560	RAI14	26064	retinoic acid induced 14
ENSG00000039650	PNKP	11284	polynucleotide kinase 3'-phosphatase
