gene_id,logFC
ENSG00000131747,-4.031164720364019
ENSG00000145386,-3.068636642068608
ENSG00000117650,-3.7670031264910415
ENSG00000089685,-4.4957524545719245
ENSG00000169679,-3.285240601611746
ENSG00000166851,-3.703058566769972
ENSG00000157456,-3.4277849480707845
ENSG00000143228,-3.223395724821102
ENSG00000068489,-3.935546999231313
ENSG00000237649,-3.02073839560824
ENSG00000142945,-3.9004561605547057
ENSG00000115163,-3.104851307425407
ENSG00000118193,-2.421011976830879
ENSG00000126787,-3.6071567826806095
ENSG00000090889,-3.276424101139566
ENSG00000138180,-2.436261178492927
ENSG00000158402,-2.753393787973192
ENSG00000168078,-4.042156506820396
ENSG00000178999,-4.116811516005639
ENSG00000170312,-3.832221700275064
ENSG00000265415,-3.308818425784976
ENSG00000072571,-3.561268788178331
ENSG00000263513,-2.5325010413824094
ENSG00000198901,-2.9087591952842606
ENSG00000215784,-2.526697934511823
ENSG00000134690,-2.97734862980376
ENSG00000164109,-2.269153593802219
ENSG00000024526,-2.82467939895752
ENSG00000100162,-2.642106692076723
ENSG00000121211,-2.7215243888668765
ENSG00000187634,-2.6993294880504277
ENSG00000100526,-2.746528710019757
ENSG00000129810,-2.653319413877578
ENSG00000112742,-3.003570855900741
ENSG00000075218,-2.7826984104816272
ENSG00000117724,-3.047488373788063
ENSG00000135476,-1.9927460212147383
ENSG00000111665,-2.980198998063317
ENSG00000088325,-2.996342927575068
ENSG00000138160,-3.155923300630897
ENSG00000087586,-2.73910320369475
ENSG00000109805,-2.958750268420976
ENSG00000137807,-2.0708311174054144
ENSG00000171241,-2.637896378305263
ENSG00000169607,-2.4482614654729424
ENSG00000093009,-3.322540474689474
ENSG00000011426,-3.5559022214103138
ENSG00000175063,-4.121559602251764
ENSG00000142731,-1.943830385376964
ENSG00000111206,-2.976127287246494
ENSG00000136982,-1.557502875230381
ENSG00000117399,-3.523685586923359
ENSG00000143217,1.753536123392373
ENSG00000146918,-1.833330033111503
ENSG00000186185,-3.505333631585512
ENSG00000196208,1.815761449808996
ENSG00000129195,-2.8222317241404
ENSG00000163808,-1.926823075529144
ENSG00000152253,-2.2538492991070758
ENSG00000148773,-3.534195021304396
ENSG00000121152,-2.342341205546492
ENSG00000188610,-2.3022632044338645
ENSG00000122966,-2.116117482921648
ENSG00000137804,-2.0790077139432217
ENSG00000123219,-2.2708682919681937
ENSG00000144554,-2.098941583274553
ENSG00000161800,-1.9643555763085665
ENSG00000076382,-2.8258541396753016
ENSG00000108106,-2.182499703744802
ENSG00000134057,-3.000164603079558
ENSG00000168824,1.928683434206276
ENSG00000139734,-2.110488484948946
ENSG00000156970,-2.607628508364472
ENSG00000198753,1.5207893669203614
ENSG00000127564,-2.836733213471507
ENSG00000066279,-2.632271395950964
ENSG00000073111,-1.8154556074049544
ENSG00000113368,-2.01818134420419
ENSG00000231864,-2.155291442436292
ENSG00000231304,-1.520696269988714
ENSG00000102384,-1.777258464755111
ENSG00000140525,-1.8323507455231072
ENSG00000065357,1.2771616473149714
ENSG00000285600,-1.3202701716361582
ENSG00000165480,-2.3845792069735987
ENSG00000079616,-2.380311674578547
ENSG00000100749,-1.5180502364575532
ENSG00000203760,-1.8871481771456968
ENSG00000140451,-1.5667696333730117
ENSG00000101057,-3.5381448678721803
ENSG00000198826,-2.0447566011897838
ENSG00000183763,-1.6284115469140767
ENSG00000167900,-3.7468218270946263
ENSG00000013810,-2.5261352474221006
ENSG00000122952,-2.788702092979237
ENSG00000164087,-1.7938488845728502
ENSG00000075702,-1.9854487069885876
ENSG00000248583,1.532806788108204
ENSG00000185404,1.3793600804317256
ENSG00000135451,-3.072506322685347
ENSG00000163507,-1.7700074322234798
ENSG00000140534,-1.450625396979803
ENSG00000154839,-3.13025740523135
ENSG00000146670,-2.969682406279337
ENSG00000138182,-1.5358304466491133
ENSG00000123485,-1.831976875160264
ENSG00000111247,-2.230753620514162
ENSG00000199334,5.3805319194697
ENSG00000100297,-2.690907764563977
ENSG00000279208,1.5931929231297333
ENSG00000233276,1.6337625628939438
ENSG00000165244,-1.4247260485652733
ENSG00000109674,-2.2197936179538376
ENSG00000163535,-1.892551318662314
ENSG00000164938,1.2295309286736913
ENSG00000171848,-3.2906483073631616
ENSG00000138778,-1.896228484368716
ENSG00000267374,-1.5035622803021478
ENSG00000124201,1.1675830018237408
ENSG00000162511,1.1444347355949531
ENSG00000171320,-2.234853807590574
ENSG00000136842,1.4365769003632654
ENSG00000091651,-1.8697858265000336
ENSG00000010292,-1.5590234950934172
ENSG00000069812,1.9057350359940275
ENSG00000174371,-2.4739085438848982
ENSG00000136114,1.5705462147071207
ENSG00000165501,-1.2682683583454972
ENSG00000077942,-2.0764214870601
ENSG00000057593,-1.4116460214724469
ENSG00000183856,-1.7158189200300016
ENSG00000205208,-1.146592191189404
ENSG00000182481,-1.3910149238896403
ENSG00000233966,-2.001493570760576
ENSG00000143476,-1.8970722164495144
ENSG00000171564,-3.867638023217369
ENSG00000182175,1.1448384853378897
ENSG00000143815,-1.118496482029764
ENSG00000065328,-2.4202892805374976
ENSG00000133119,-2.2022863761070406
ENSG00000132517,2.0077468773688065
ENSG00000140859,-1.2612243516985338
ENSG00000091592,1.3771300570502032
ENSG00000138346,-1.1648595909974568
ENSG00000077684,-2.367413410523634
ENSG00000105939,1.3067602416030772
ENSG00000107249,-1.7728426089162168
ENSG00000168393,-1.9326537607689336
ENSG00000080986,-2.216273911478716
ENSG00000213186,-1.5759281946797197
ENSG00000143401,-1.428235118670217
ENSG00000148498,-1.4204826764285563
ENSG00000106268,-1.3478871312534864
ENSG00000071539,-2.3044916980618275
